id,polarity,text,pos,neg,neu,sum,exclamation_freq,question_freq,uppercase_freq,word_count,char_count
t20,neutral,"I be not sure if this be a case here but if you be really worried about the gc in this case and you would like to better control behavior of your derive map and thus their influence on the performance of the gc in my opinion you should take a look at the usage of different kind of reference ( strong , weak , soft , phantom ) in java . also remember that pre - optimization be a root of all evil especially in programming .",2,-3,-1,-2,0.0,0.0,0.0023584905660377358,88,424
t21,negative,"I do not see how this be possible , but I really , really hate to run my query an extra time just to get the record count so I can build a pager . when I say a "" pager "" I simply mean the common gizmo with a link for each 10 record for example .",1,-5,-1,-5,0.0,0.0,0.02040816326530612,58,245
t23,neutral,have add an answer,1,-1,0,0,0.0,0.0,0.0,4,18
t24,negative,"yes , but it be tricky , since datetime parse in SQL be a pain in the neck .",1,-4,-1,-4,0.0,0.0,0.039473684210526314,19,76
t25,negative,"< @user > : to I , it do not matter what they advise if they do not provide alternative . I have be a happy user of qthttp thus far without worry , but yes , it be just a quick workaround as write .",2,-1,1,2,0.0,0.0,0.010101010101010102,46,198
t26,negative,"< @user > I be sorry to hear that ... maybe you can get in touch with the developer of BaronReplays and ask they to help you out ? if not , I be afraid I can not help you much more ! regard , Rodit",1,-3,-1,-3,0.021739130434782608,0.021739130434782608,0.030456852791878174,46,197
t27,neutral,this question would now be more appropriate on SuperUser .,1,-1,0,0,0.0,0.0,0.034482758620689655,10,58
t28,negative,"after look at the answer below , I be very sad that this be an example of backwards progress for SSRS .",1,-5,-1,-5,0.0,0.0,0.04854368932038835,22,103
t29,negative,"I instal Delphi 2009 Update 4 yesterday ( very painful process ) now , how can I make sure if it be properly update ? what be the build number show in the IDE about box ?",1,-1,0,0,0.0,0.05405405405405406,0.041176470588235294,37,170
t30,negative,"I be very sorry about my horrible English ! only for this example I use radio button , I be consider use textbox too",1,-4,-1,-4,0.041666666666666664,0.0,0.034482758620689655,24,116
t31,neutral,"I assume you be use Ken Reitz 's excellent request library to do the HTTP request ( if not , you really should be!)Most likely , the problem be that request do not add a ' content - type ' header to multi - part upload , and packmgr do not read multi - part body with no ' content - type ' header . so , while a normal ' request ' post of a multipart - encode file would go something like this : you instead have to use the long form , set an explicit content - type : note that one side - effect of do it this way be that it can not stream the file - the entire package zip file will be read into memory .",4,-1,1,4,0.007518796992481203,0.0,0.013201320132013201,133,606
t32,negative,"not for I , but I can suggest some possibility : it may cause problem while editing-- > this can be solve by use some comments-- > and then this will cause the code messy some code may crash and your code success will go away from you |.|-- > no solution - unless you know more about the code ! code upgrade problem-- if external code have upgrade you may have problem to know which be that code-- > again use comments-- > and again messy so these be some that I can think about!EDIT --- some con : you can make it more convenient to edit-- > you can edit more than one code at onceyou can edit some code that you wan't able to edit ( external resource before)-- > modifying be more convenient . you can make it load faster-- > 1 file with 1000 KB be fast than 1000 file with 1 KB each . it be safer-- > you do not need to worry about external resource be deleted!!these be my suggestion . try to think more about it !",1,-2,-1,-2,0.026881720430107527,0.0,0.011982570806100218,186,918
t33,negative,"I have just finish that site , but there be a silly bug that remain ... if you check tu horizontal position of the WHOLE page there be a slight shift ... nothing to cry about but why here be the 2 page any idea , the horizontal css be : I do not like my page to do the cha - cha - cha !",1,-4,-1,-4,0.015151515151515152,0.0,0.024475524475524476,66,286
t35,neutral,so to do this I would keep a list of axis and when I delete the content of one I would swap it out with a full one . I think the example below solve the problem ( or at least give an idea of how to solve it ): the extremely ugly for loop construct be really just a placeholder to give an example of how the axis can be swap .,1,-5,-1,-5,0.0,0.0,0.012307692307692308,73,325
t37,negative,"lastly , I do not see any styling datum . do your project have some css define somewhere ?",1,-1,0,0,0.0,0.05263157894736842,0.011111111111111112,19,90
t38,negative,"I be try to do this in a makefile and it fail horribly : do you know why ? I guess it have to do with escaping , but what and where ?",1,-3,-1,-3,0.0,0.06060606060606061,0.015037593984962405,33,133
t39,positive,"here be a secret . in the chrome dev tool , do a cpu profile run . after you have stop capture , at the bottom of the screen be a down triangle next to "" heavy ( Bottom Up ) "" . click the triangle and select "" Flame Chart "" . once you be in Flame Chart mode , you can zoom and pan to see the digest cycle , how long they take , and exactly what function be be call . the Flame Chart be so incredibly useful for track down page load issue , ng - repeat performance problem , digest cycle problem ! I really do not know how I be able to debug and profile before the Flame Chart . here be an example :",1,-1,0,0,0.007575757575757576,0.0,0.020066889632107024,132,598
t40,negative,"and what do those "" line upon line of error "" say ? ( Sheesh ! get information out of you be about as painful as pull out tooth ! ! )",1,-1,0,0,0.09375,0.03125,0.007518796992481203,32,133
t41,neutral,"the function signature for pthread_create require a function that return . also , return from should be treat opaquely . both of these change be reflect below and compile on my machine : update : there be some other issue with your program as well . for example , it be very likely that main will exit before your thread run . you should join on your thread if you want to make sure it exit first . use raw pthread be a great way to learn about thread but can be very very painful compare to some of the pre - existing framework out there - try boost::thread or std::thread if you want to just get up and run with as little hassle as possible .",3,-1,1,3,0.0,0.0,0.0,127,644
t42,positive,excellent ! thank for the info .,2,-1,1,2,0.14285714285714285,0.0,0.0,7,32
t43,negative,"this be for facial recognition , and auto submitting username and password in your browser , if you be in front of your pc . nothing malicious bout that ? ! ?",1,-1,0,0,0.03125,0.0625,0.0,32,158
t48,negative,"here be my PHP code .. .. I be extremely crappy with my JavaScript code , could someone help I convert this ? I basically want to convert a variable such as "" marine - heavy "" to "" Marine ( heavy ) "" .",1,-1,0,0,0.0,0.022222222222222223,0.04477611940298507,45,201
t49,neutral,"no , the output be not the same ; one be a Unicode value , the other an undecoded bytes value . for ascii , that look the same , but when you load any web page that use character outside the ascii characterset , the difference will be much clear . take UTF-8 encoded datum , for example : that be a simple U+2013 EN dash character . the byte representation show the 3 bytes UTF-8 use to encode the codepoint . you really want to read up on Unicode vs. encode datum here , I recommend : the Absolute Minimum every Software Developer absolutely , positively must know about Unicode and Character Sets ( No Excuses ! ) by Joel SpolskyThe Python Unicode HOWTOPragmatic Unicode by Ned Batchelder",3,-1,1,3,0.007692307692307693,0.0,0.050724637681159424,130,690
t50,positive,"wow , great ! thank , I do not know this one exist .",3,-1,1,3,0.07142857142857142,0.0,0.019230769230769232,14,52
t51,negative,"suppose I have this interface and this class be there a way , or be there a tool that can let I automatically put in the comment of each member in a base class or interface ? because I hate re - write the same comment for each derive sub - class !",1,-4,-1,-4,0.018867924528301886,0.018867924528301886,0.012145748987854251,53,247
t52,negative,"I ask before about pixel - push , and have now manage to get far enough to get noise to show up on the screen . here be how I init : here be how I render each frame : problem be this be awfully awfully slow , around 5fps . I think my path to publish the buffer must be wrong . be it even possible to do full - screen pixel - base graphic that I could update at 30fps , without use the 3d chip ?",1,-5,-1,-5,0.0,0.011235955056179775,0.012690355329949238,89,394
t53,positive,"Paradise , if you submit that as a separate response I will make you the winner !",4,-1,1,4,0.058823529411764705,0.0,0.024691358024691357,17,81
t54,negative,"now when I load it to the device , an image will not show up . this be all kind of horrible !",1,-3,-1,-3,0.043478260869565216,0.0,0.010752688172043012,23,93
t55,negative,it be very painful to add multiple ticket to Trac or to have it as your own todo list . that cause people to use their own task management tool so task be then spread all around . be there any plugin or macro that would quicken the process of add a ticket ?,1,-1,0,0,0.0,0.018518518518518517,0.0038910505836575876,54,257
t57,positive,excellent ! look forward to hear from you .,1,-1,0,0,0.1111111111111111,0.0,0.0,9,43
t59,neutral,"okay , I see your confusion and edit my response with some sample code / an appropriate link to wikipedia . you be confuse the entropy of the model 's probability distribution with the cross entropy ( or likelihood ) of the prediction it make on real datum . consider a model that assign probability 1 to some event and probability 0 to everything else . it have 0 entropy , but make absolutely terrible prediction on any testing distribution that be not a purely non - random sequence , assign 0 probability to event that actually happen .",1,-4,-1,-4,0.0,0.0,0.001851851851851852,99,540
t60,negative,be afraid someone would say that ... ! be there any hack I could put in place ?,1,-4,-1,-4,0.05555555555555555,0.05555555555555555,0.012658227848101266,18,79
t61,positive,"excellent question ! this particular project will need DS , WAYF , etc .",1,-1,0,0,0.07142857142857142,0.0,0.08333333333333333,14,72
t65,negative,that be really bad . GWT look extremely ugly with IE8 default !,1,-5,-1,-5,0.07692307692307693,0.0,0.07936507936507936,13,63
t66,positive,excellent point ! :),2,-1,1,2,0.25,0.0,0.0,4,20
t69,neutral,"when you try it , you get the error : this come from ( line 3023 on my source , but vary by version ) , in . the comment there explain that : this routine be to be call by statement that must not run inside a transaction block , typically because they have non - rollback - able side effect or do internal commit . for it be call from in under the case for , but unfortunately there be not any informative comment that say why specifically be not safe to run in a transaction . look at the source , I can see that for one thing it force a checkpoint . overall , though , I do not see anything that really scream out "" we can not do this transactionally "" . it be more "" we have not implement the functionality to do this transactionally "" .",1,-2,-1,-2,0.0,0.0,0.002702702702702703,154,740
t71,neutral,"< @user > , I be in the process of revise the answer , but see you have already answer it .",1,-1,0,0,0.0,0.0,0.01098901098901099,22,91
t72,positive,"let us imagine something like this : later I can do something like this : be there any way I can set the limit when use the name query , and not when define it ? I would would really love to do something like : or Thx in advance ! :-)",2,-1,1,2,0.019230769230769232,0.019230769230769232,0.017094017094017096,52,234
t73,neutral,this can probably be do use JavaScript .,1,-1,0,0,0.0,0.0,0.05,8,40
t74,neutral,"if I understand your question correctly , the exception be because variable be not find inside the function . I would suggest learn scope rule in Python or read this excellent to - the - point chapter on the topic ( or search for this topic on the web!).the other thing I would recommend be not to handle all exception as you have show in your snippet . here be why . the fix code could look something like this :",4,-1,1,4,0.012345679012345678,0.0,0.009685230024213076,81,413
t75,neutral,you will need to create or call a refresh function from the same place as the alert ( ) in the .get ( ) call . that function be a success post - back .,1,-1,0,0,0.0,0.0,0.0,35,151
t77,positive,"as I comment your question , there be of problem inside your code so well will be to use some ready function / class for it :) just search for it .. how ever I can give you easy way to display what you want .. replace your for loop with that code and it will be fine :) but really ! ! ! 1st - MYSQL _ function be deprecate use mysqli or PDO instead .. 2nd - escape all variable in your query .. 3rd - Think for use more flexible method of work ( function / object .. )",4,-1,1,4,0.029411764705882353,0.0,0.023504273504273504,102,468
t78,neutral,you can download a local copy of jQuery or use a cdn . this link have detail : < link >,1,-1,0,0,0.0,0.0,0.011494252873563218,21,87
t79,neutral,I think it speak volume about IE that the keyCodes for the arrow key form an angry sad face : % & ' ( ( work well in the comment text entry font ),1,-5,-1,-5,0.0,0.0,0.0273972602739726,34,146
t80,neutral,"I be use Apache 's implementation , namely < link >",1,-1,0,0,0.0,0.0,0.0392156862745098,11,51
t81,negative,"okay , a before < example > and a desire after < example > I know , horrific ( do not ask ! ) see how the slash in the key indicate child , and how the order be nest accordingly ? and item without order be simply shift to the bottom . but also how multiple ' same level ' item with the same order be merely sort by key ?",1,-3,-1,-3,0.013888888888888888,0.027777777777777776,0.003125,72,320
t82,neutral,"I need the page to include the sitemap because I be save context from each of the three previous page . that way the user can click the previous page in the sitemap , and it will load the datum I store ( i.e. load the datum from their previous search ) .",1,-1,0,0,0.0,0.0,0.011811023622047244,53,254
t85,positive,"there be another way ... as the WPF application be code with the .net framework , it be compile to MSIL ( Microsoft Intermediate Language ) . this mean you can use a decompiler such as ILSpy to decompile and view the code of BaronReplays . this will give you some idea of how BaronReplays work so you can implement the same idea into your own code project ... hope this helped!rodit",1,-1,0,0,0.013888888888888888,0.0,0.04450261780104712,72,382
t86,positive,"would you happen to have another column in your table where you can group they as "" 1 2 3 4 "" , "" 1 2 3 4 "" , etc?It would look something like this:1st column | second columnA | 1B | 1C | 1D | 1A | 2B | 2C | 2D | 2if you order it by 2nd column , it will return 1 1 1 1 2 2 2 2 . but since you have another column , you can do order by 1st column , 2nd column , and it will be 1 2 1 2 1 2 1 2.this ia ofcourse assume that you have a field like 1st column . but give that you be look at have they order like 1 2 3 4 1 2 3 4 , there must be something in your other field that can help you achieve that Hope this help !",2,-1,1,2,0.0064516129032258064,0.0064516129032258064,0.016260162601626018,155,615
t87,positive,you would need to create a counter integer variable that can keep track of the line index for you . hope it help !,1,-1,0,0,0.041666666666666664,0.0,0.0,24,114
t88,neutral,"yes , this be question .",1,-1,0,0,0.0,0.0,0.0,6,24
t89,negative,"Everytime I execute my app in debug mode , the execution break inside some class file of an external library that I be use . even though it be a nullpointerexception , for some reason I can hit resume and continue the execution . in case you be curious , I have put the stacktrace below . my problem though be that I simply want to stop that . it be extremely annoying and happen every now and then during the execution . but I can not find any setting anywhere which will prevent break inside class file . how do I avoid this ?",1,-5,-1,-5,0.0,0.009523809523809525,0.015151515151515152,105,528
t92,negative,"I can not seem to figure out why the phpunit target do not output any test result even though I have test in position . the problem I be find be there be no indication as to what the problem be ! incredibly frustrating . the output be as follow : my build.xml be as follow : my system : Vista , PHP 5.2.9 , PHPUnit 3.4 , phpundercontrol , CruiseControl",1,-4,-1,-4,0.014084507042253521,0.0,0.036931818181818184,71,352
t93,positive,excellent alternative !,1,-1,0,0,0.3333333333333333,0.0,0.0,3,23
t94,negative,I do not have any control over the dataset I recieve . the only thing I know be that it contain everything .,1,-1,0,0,0.0,0.0,0.027777777777777776,23,108
t96,neutral,"be your test case exhibit this behavior in jsfiddle ? I have try it in Firefox , Chrome and Safari and do not see the shrinking you be talk about , although Chrome and Safari force a left - margin indent while drag . ( ? ? ? ) & # xA;&#xA ;",1,-1,0,0,0.0,0.07547169811320754,0.03333333333333333,53,240
t98,positive,you be very welcome ! it would be nice though if you upvote and accept the answer . this way other user could refer to it if they pass to the same trouble you have = p,3,-2,1,2,0.02702702702702703,0.0,0.0,37,167
t99,positive,"< @user > , you be correct ! transpose they as I be write .",1,-1,0,0,0.06666666666666667,0.0,0.01694915254237288,15,59
t100,negative,be this valid ? what I be really worried about be can you specify type and also use def at the same time ?,1,-1,0,0,0.0,0.08333333333333333,0.009433962264150943,24,106
t101,negative,I be afraid you can not fetch that!The Graph api do not provide any api to do so .,1,-4,-1,-4,0.05263157894736842,0.0,0.036585365853658534,19,82
t102,negative,"I store range in MySQL DB , but a lot of query to mysql for get provider name - it be terrible :(",1,-4,-1,-4,0.0,0.0,0.07216494845360824,23,97
t103,neutral,"make a canvas path glow by apply a series of overlap shadow with increase blurA Demo : < link > can change the styling of the glow by vary the number of overlay and the blur size . example code for a glow effect : to get the outline path of your phone image , you can use the "" marching ant "" algorithm . this algorithm will create a path that outline an image . in your case you would define the image as all pixel that be not transparent . here be a very good implementation of "" march ant "" that be use in the excellent d3 library:<link > use like this : drawimage your phone on the canvas . get the pixel color array from the canvas use ctx.getImageData Define a function that check the pixel array for non - transparent pixel at any x , y on the canvas . call the contour function : here be an example result : the glow be automatically generate use overlap shadowsthe outline path of the phone be calculate use the marching ant algorithm",4,-1,1,4,0.0,0.0,0.005302226935312832,186,943
t104,positive,"it would be a good practice to have a separate button that will disable method since it be very easy to get confused when use your program if the code for disable and enable this method be all write in one method name so I suggest you separate they to make the program 's design more precise . next thing you can do be to execute a , whic you be go to mark as . after have do this you can use .here 's how : be warn that it be sometimes dangerous to throw exception as it create some other bug , but this option will not hurt much if you be just try to disable a function . by the way , this will really not remove the method as it will just replace it , it be now up to you to choose which method will receive this . hope this be helpful !",1,-2,-1,-2,0.006329113924050633,0.0,0.0013513513513513514,158,740
t105,negative,"I want to duplicate a very large table , but I do not want to copy it row by row . be there a way to duplicate it ? for example , you can truncate w/o delete row / row , so I be wonder if there be something similar for copy entire table update : row by row insert be very painful ( because of 120 M row ) . anyway to avoid that ?",1,-1,0,0,0.0,0.02631578947368421,0.0121580547112462,76,329
t106,negative,"yeah , I know , I just can not figure out where the ' private ' be come from . it be very frustrating !",1,-3,-1,-3,0.04,0.0,0.019417475728155338,25,103
t107,positive,excellent ! PHP really be an impressive language .,2,-1,1,2,0.1111111111111111,0.0,0.06,9,50
t108,positive,"if you only need the count ( like you express in your original question ) , you could do : hope it help !",1,-1,0,0,0.041666666666666664,0.0,0.0,24,105
t109,positive,"there be two issue with your regex pattern : firstly , you forgot to add the ^ at the beginning . this be why only the last character be check , or to say : you do not check the entire input . secondly , your cyrill check do not seem to be correct . still , I be not use to cyrillic letter and I should be careful before I judge ;) hope it help !",1,-1,0,0,0.012987012987012988,0.0,0.008670520231213872,77,346
t110,positive,"Cool , that be go to be my next suggestion ! good luck :)",4,-1,1,4,0.07142857142857142,0.0,0.017543859649122806,14,57
t111,negative,no answer yet .... sad =(,1,-4,-1,-4,0.0,0.0,0.0,6,25
t113,positive,you can use this Hope this help !,1,-1,0,0,0.125,0.0,0.030303030303030304,8,33
t114,negative,yeaa I m just not sure how I would be able to store a user input string into the array . I have look around online and try out some of their code . so I m not sure . I really hate mips . :(,1,-5,-1,-5,0.0,0.0,0.026455026455026454,46,189
t116,positive,that be great :),4,-1,1,4,0.0,0.0,0.0,4,16
t117,neutral,"some of your code seem redundant , so I remove some . such as define and then duplicate it into so I just define once . I get rid of , , and since you can just as easily enter the value directly . then I get rid of the whole get the late file in the log folder , and just add the content to the log file define early . I change the log entry so they be do by tab so the entry type , date , and the actual entry all line up nicely when you view the log file . lastly I change the whole if > elseif > ElseIf thing into a Switch , because Switch be awesome and totally underused ! oh yeah , I get rid of because it be pointless to define a variable and then just echo it . what you could do be in the section have it write - host the error and call the log function again , so people be force to enter a valid entry .",3,-1,1,3,0.0055248618784530384,0.0,0.013513513513513514,181,814
t119,negative,< @user > - what be the emoticon for be terribly embarrassed !,1,-4,-1,-4,0.07692307692307693,0.0,0.0,13,62
t120,neutral,"[ fiddle](<link > be not relate to the table layout of auto versus fix . the fiddle show that it work for both . if you be still see a problem while use the new version of jQuery - ui , then it must be another issue with your code .",1,-1,0,0,0.0,0.0,0.004310344827586207,51,232
t121,negative,I have implement this in my Visual Studio addon Visual Installer as IntelliSense Member Completion . if you type variable follow by a period ( . ) a list of all possible member of this class be present in a list from which you can choose : second option be to move cursor over any class to view it be member : see detail here : < link > sorry for this self promo - TLama be very angry for promote 3rd party software in Inno question but there be no support for this in official Inno Setup editor and many people ask for this .,1,-5,-1,-5,0.0,0.0,0.026615969581749048,106,526
t122,positive,"how do you train Neural Network for pattern recognition ? for example a face recognition in a picture how would you define the output neuron ? ( eg . how to detect where be the face exactly , rather than just say that there be a face in camera ) . also , how about detect multiple face and different size of face ? if anyone could give I a pointer it would be really great cheer !",4,-1,1,4,0.01282051282051282,0.038461538461538464,0.007894736842105263,78,380
t125,positive,"the question just come to I from a different team . the question be "" how to query the user in the exchange server 's particular User group "" . its say that the Exchange server user group be not link to an ad group . the example I could get be all for query base on ad group . I hear there be two way either through SQL or through DirectoryServices . either solution be fine , but through DirectoryServices will be super awesome ! thank again !",3,-1,1,3,0.02247191011235955,0.0,0.02702702702702703,89,444
t126,neutral,what will you be do with the image ? display they in the browser ?,1,-1,0,0,0.0,0.13333333333333333,0.0,15,66
t128,negative,it be really painfull to get all code form TFS whenever you make a build use NANT . be there any setting in ccnet.config which will only take the file which be change form last time which can speed up the process .,1,-1,0,0,0.0,0.0,0.03271028037383177,43,214
t129,negative,"I be not for sure how the ControlCollection of ASP.Net work , so maybe someone can shed some light on this for I . I recently discover the magic that be extension method and Linq . well , I be very sad to find that this be not valid syntax however from what I can tell , do implement the interface which provide such method , so what give ? why do not that just work ? I have find a decent work around for this issue at least :",1,-5,-1,-5,0.0,0.022222222222222223,0.03044496487119438,90,427
t130,positive,"< @user > if u be in this industry soon or later you will "" meet "" Martin Thompson 's excellent blog , I be glad to introduce you to it . :) < link > happy reading !",4,-1,1,4,0.02564102564102564,0.0,0.01818181818181818,39,165
t133,negative,"we definitely have differ view on what be the "" easy "" method achieve this functionality , and deal with thread be not easy for I",1,-1,0,0,0.0,0.0,0.007751937984496124,26,129
t135,positive,"be there a shorthand for a new line character in Scala ? in Java ( on Windows ) I usually just use "" \n "" , but that do not seem to work in Scala - specifically output in Eclipse , ( sic ) from the command line , and from the REPL ( great SUCCESS ! ) work , but be there anything short ?",3,-1,1,3,0.015151515151515152,0.030303030303030304,0.059233449477351915,66,287
t136,positive,"I have a long scrolling page , and want to test if an element be 100px from the top , then apply a class elsewhere ( until the next element in line be 100px from the top ) if I could just get the basic statement I would be ecstatic , anything extra would be a bonus !",1,-1,0,0,0.017241379310344827,0.0,0.011235955056179775,58,267
t137,positive,< @user > no worry ! glad to have help :),2,-3,-1,-2,0.09090909090909091,0.0,0.0,11,41
t138,positive,excellent point ! thank ! ! I do mean just the left side though .. ( I should have specify that ) . be glad to learn your insight though ..,2,-1,1,2,0.0967741935483871,0.0,0.014388489208633094,31,139
t139,positive,"you can do as follow : when your app be not started/ run and you start from an notification , oncreate get call . when your app be run ( background or foreground ) , and you start a new intent from an notification this method get call : ( if you be use singletop ) to detect whether your app be run back- or foreground , you can simply set a boolean in onPause / onresume : hope it help !",1,-1,0,0,0.012195121951219513,0.0,0.002577319587628866,82,388
t140,negative,"I just catch that , Firefox do not preform spell check on the title field for some reason .",1,-1,0,0,0.0,0.0,0.02197802197802198,19,91
t141,positive,"be in so u need not to worry!internally the datum be always store as text , so even if you create table with , SQLite be go to follow the rule of datum type",1,-1,0,0,0.029411764705882353,0.0,0.019230769230769232,34,156
t144,negative,"I be try to output the following from within a liquid template : obviously , Liquid see this as a variable name and try to do substitution . I be try to find out how I can output the actual brace . so far , I have find one method that work , but it be incredibly ugly : yeah , tell you it be gross . here be other thing I have try : any advice here ?",1,-5,-1,-5,0.0,0.012658227848101266,0.017142857142857144,79,350
t145,neutral,"asset be bundle with your APK and they be read only . you can not delete they in your app . if you be really worried about storage usage , consider alternative database distribution mechanism such as download it over the network .",1,-1,0,0,0.0,0.0,0.013043478260869565,43,230
t146,negative,exactly why I be ask because that s what I fear !,1,-4,-1,-4,0.08333333333333333,0.0,0.04081632653061224,12,49
t147,positive,<3 <3 <3 ! ! ! :),2,-1,1,2,0.42857142857142855,0.0,0.0,7,17
t148,negative,I need to perform the same hash server side . all this code that I be dig through seem to have be run through some compression tool . devastating .,1,-1,0,0,0.0,0.0,0.013605442176870748,30,147
t149,neutral,just that they make you list the type twice . i.e. list list = new ArrayList ( ),1,-1,0,0,0.0,0.0,0.025,18,80
t150,negative,"I be look for as automatic way as possible . surronde every query with a StopWatch would work , but it be a lot of work .",1,-1,0,0,0.0,0.0,0.024793388429752067,27,121
t151,neutral,"you need to make the follow change to your code : however keep in mind that this be extremely vulnerable to SQL injection , and you should also swap mysql for PDO / MySQLi immediately if you plan to use this code on a live website .",1,-1,0,0,0.0,0.0,0.04310344827586207,47,232
t152,neutral,"I just notice also that you be call * * sortable * * on the reporttablebody class , but that class do not exist in the fiddle code .",1,-1,0,0,0.0,0.0,0.007575757575757576,29,132
t154,positive,I have but instead of bother they I would like to do it myself . I really enjoy try new thing and so far figure all of this out have be very fun !,4,-2,1,3,0.029411764705882353,0.0,0.02054794520547945,34,146
t156,negative,"you be process the newline character as if it be legitimate input . you should either read the entire line ( include the newline , perhaps use a ) and then process the first character of the line or simply add a test to skip newline in your loop logic . P.S. convert case by add or subtract 32 be a really awful approach . it will not work with anything but a - z and A - z ( in the English alphabet ) . it will not work for most character outside the Basic Latin block and should not be use at all for character that have no alternate case ( such as newline ) . you should be use and instead .",1,-5,-1,-5,0.0,0.0,0.010101010101010102,125,594
t157,positive,"be there a way to pattern match in F # so that it will check to see if both element in a two element tuple be equal . I be incredibly new to F # , and also new to the whole concept of Pattern Matching in general . I be think something along the line of ... but I guess that would be too easy hah . any suggestion ? or be there even a way to do that ? thank for your help , you guy be incredibly helpful !",2,-1,1,2,0.010869565217391304,0.021739130434782608,0.017326732673267328,92,404
t158,negative,unless you be able to demonstrate the problem with display code then I be afraid there be not much more I can do to help you out .,1,-4,-1,-4,0.0,0.0,0.015384615384615385,28,130
t159,neutral,nope . it come right up .,1,-1,0,0,0.0,0.0,0.0,7,25
t160,positive,gosh ! you be right ! ! ! excellent ! ! ! ! be there a way to expand it programatically ? I add .setOngoing(true ) ( to the top ) but it be not expand ... ( not really the top because the first one be a notification when I be plug to usb for tool developpement ) . thank you again my friend !,4,-1,1,4,0.13636363636363635,0.015151515151515152,0.010273972602739725,66,292
t161,negative,< @user > pickard : that be really sad :'( :'( :'(,1,-5,-1,-5,0.0,0.0,0.0,12,50
t162,neutral,the first line set the file name variable and set the field separator to comma . the second line set the output field separator to comma too . the third line print line with 3 field to the new file ; the fourth line print line with other than 3 field to the error file . note that your code would be excruciatingly slow on big file because it execute two process per line . this code have only one process operate on the whole file which will be really important if the input grow to thousand or million or more line .,1,-1,0,0,0.0,0.0,0.0,103,518
t163,positive,excellent ! thank .,2,-1,1,2,0.25,0.0,0.0,4,19
t165,negative,"sorry , I be just try to help and obviously misread the question . no need to get angry !",1,-4,-1,-4,0.05,0.0,0.011235955056179775,20,89
t166,positive,great ! good to hear it . can you please accept my answer ? :),2,-1,1,2,0.06666666666666667,0.06666666666666667,0.0,15,62
t168,positive,you be right . see my update ! make a suggestion pls and I will catch your thought ;),1,-1,0,0,0.05263157894736842,0.0,0.011764705882352941,19,85
t169,negative,"I have a function name call setvalue , use in many class . also , I have a global function by the same name . when I press C- ] , it go to arbitrary setvalue function . how do I directly jump to the global setvalue function ? it be really pain to use tnext every time to find if the function global .",1,-5,-1,-5,0.0,0.015384615384615385,0.016666666666666666,65,300
t170,neutral,"also , your fiddle example seem to be cut from a much big project with a lot of superfluous code hang around . I think if you be able to duplicate the issue in fiddle then you should pare down the code to eliminate some of that and make it easy to troubleshoot .",1,-1,0,0,0.0,0.0,0.003816793893129771,54,262
t174,neutral,jQuery abuse ! use CSS : html : FiddleThis should be much fast then jQuery ( as with everything CSS ) .,1,-1,0,0,0.045454545454545456,0.0,0.0970873786407767,22,103
t175,positive,that be the hope :),2,-1,1,2,0.0,0.0,0.0,5,19
t176,positive,< @user > . excellent thought . edit .,4,-1,1,4,0.0,0.0,0.0,9,38
